"","X","year","month","season","total_trips","total_accidents","accident_trip_ratio"
"1",1,2015,1,"Winter",7840,14,0.001786
"2",2,2015,2,"Winter",4020,2,0.000498
"3",3,2015,3,"Spring",11271,11,0.000976
"4",4,2015,4,"Spring",55843,35,0.000627
"5",5,2015,5,"Spring",149143,66,0.000443
"6",6,2015,6,"Summer",144232,58,0.000402
"7",7,2015,7,"Summer",175321,68,0.000388
"8",8,2015,8,"Summer",160065,61,0.000381
"9",9,2015,9,"Fall",150516,81,0.000538
"10",10,2015,10,"Fall",126656,48,0.000379
"11",11,2015,11,"Fall",88735,22,0.000248
"12",12,2015,12,"Winter",48916,36,0.000736
"13",13,2016,1,"Winter",12055,7,0.000581
"14",14,2016,2,"Winter",14643,18,0.001229
"15",15,2016,3,"Spring",41277,22,0.000533
"16",16,2016,4,"Spring",84262,29,0.000344
"17",17,2016,5,"Spring",129260,46,0.000356
"18",18,2016,6,"Summer",164667,73,0.000443
"19",19,2016,7,"Summer",167385,52,0.000311
"20",20,2016,8,"Summer",174198,65,0.000373
"21",21,2016,9,"Fall",165690,46,0.000278
"22",22,2016,10,"Fall",137865,28,0.000203
"23",23,2016,11,"Fall",99910,23,0.00023
"24",24,2016,12,"Winter",44991,15,0.000333
"25",25,2017,1,"Winter",19518,12,0.000615
"26",26,2017,2,"Winter",17272,10,0.000579
"27",27,2017,3,"Spring",31253,10,0.00032
"28",28,2017,4,"Spring",99860,43,0.000431
"29",29,2017,5,"Spring",127894,27,0.000211
"30",30,2017,6,"Summer",161910,46,0.000284
"31",31,2017,7,"Summer",175833,58,0.00033
"32",32,2017,8,"Summer",190651,41,0.000215
"33",33,2017,9,"Fall",165386,49,0.000296
"34",34,2017,10,"Fall",163662,43,0.000263
"35",35,2017,11,"Fall",105463,33,0.000313
"36",36,2017,12,"Winter",55072,18,0.000327
"37",37,2018,1,"Winter",40932,11,0.000269
"38",38,2018,2,"Winter",62817,21,0.000334
"39",39,2018,3,"Spring",62985,16,0.000254
"40",40,2018,4,"Spring",98194,21,0.000214
"41",41,2018,5,"Spring",178865,48,0.000268
"42",42,2018,6,"Summer",205359,53,0.000258
"43",43,2018,7,"Summer",242916,48,0.000198
"44",44,2018,8,"Summer",236076,46,0.000195
"45",45,2018,9,"Fall",236182,62,0.000263
"46",46,2018,10,"Fall",200100,54,0.00027
"47",47,2018,11,"Fall",121419,24,0.000198
"48",48,2018,12,"Winter",81961,21,0.000256
"49",49,2019,1,"Winter",69872,15,0.000215
"50",50,2019,2,"Winter",80466,14,0.000174
"51",51,2019,3,"Spring",102369,15,0.000147
"52",52,2019,4,"Spring",166694,20,0.00012
"53",53,2019,5,"Spring",223084,33,0.000148
"54",54,2019,6,"Summer",274083,42,0.000153
"55",55,2019,7,"Summer",317028,56,0.000177
"56",56,2019,8,"Summer",337519,46,0.000136
"57",57,2019,9,"Fall",363185,58,0.00016
"58",58,2019,10,"Fall",305504,33,0.000108
"59",59,2019,11,"Fall",190759,22,0.000115
"60",60,2019,12,"Winter",92208,11,0.000119
"61",61,2020,1,"Winter",128598,11,8.6e-05
"62",62,2020,2,"Winter",133235,15,0.000113
"63",63,2020,3,"Spring",107350,15,0.00014
"64",64,2020,4,"Spring",46793,11,0.000235
"65",65,2020,5,"Spring",124879,23,0.000184
"66",66,2020,6,"Summer",191843,37,0.000193
"67",67,2020,7,"Summer",259726,39,0.00015
"68",68,2020,8,"Summer",289033,52,0.00018
"69",69,2020,9,"Fall",307853,32,0.000104
"70",70,2020,10,"Fall",248424,29,0.000117
"71",71,2020,11,"Fall",161712,26,0.000161
"72",72,2020,12,"Winter",74002,5,6.8e-05
"73",73,2021,1,"Winter",71805,9,0.000125
"74",74,2021,2,"Winter",60447,4,6.6e-05
"75",75,2021,3,"Spring",139046,10,7.2e-05
"76",76,2021,4,"Spring",187816,24,0.000128
"77",77,2021,5,"Spring",270893,31,0.000114
"78",78,2021,6,"Summer",311969,27,8.7e-05
"79",79,2021,7,"Summer",309403,22,7.1e-05
"80",80,2021,8,"Summer",357338,32,9e-05
"81",81,2021,9,"Fall",432254,31,7.2e-05
"82",82,2021,10,"Fall",399182,29,7.3e-05
"83",83,2021,11,"Fall",250925,16,6.4e-05
"84",84,2021,12,"Winter",143300,4,2.8e-05
"85",85,2022,1,"Winter",81613,9,0.00011
"86",86,2022,2,"Winter",110460,7,6.3e-05
"87",87,2022,3,"Spring",182421,14,7.7e-05
"88",88,2022,4,"Spring",274264,17,6.2e-05
"89",89,2022,5,"Spring",350660,21,6e-05
"90",90,2022,6,"Summer",388531,20,5.1e-05
"91",91,2022,7,"Summer",430585,28,6.5e-05
"92",92,2022,8,"Summer",487201,34,7e-05
"93",93,2022,9,"Fall",601049,28,4.7e-05
"94",94,2022,10,"Fall",416964,29,7e-05
"95",95,2022,11,"Fall",290621,18,6.2e-05
"96",96,2022,12,"Winter",142912,18,0.000126
"100",100,2024,1,"Winter",166699,8,4.8e-05
"101",101,2024,2,"Winter",231947,8,3.4e-05
"102",102,2024,3,"Spring",261687,20,7.6e-05
"103",103,2024,4,"Spring",356327,20,5.6e-05
"104",104,2024,5,"Spring",440675,24,5.4e-05
"105",105,2024,6,"Summer",478782,24,5e-05
"106",106,2024,7,"Summer",542646,56,0.000103
"107",107,2024,8,"Summer",538326,57,0.000106
"108",108,2024,9,"Fall",582570,48,8.2e-05
"109",109,2024,10,"Fall",564236,54,9.6e-05
"110",110,2024,11,"Fall",397310,29,7.3e-05
"111",111,2024,12,"Winter",190618,18,9.4e-05
"112",112,2025,1,"Winter",162302,2,1.2e-05
"113",113,2025,2,"Winter",166038,8,4.8e-05
"114",114,2025,3,"Spring",272063,11,4e-05
"115",115,2025,4,"Spring",373972,11,2.9e-05
"116",116,2025,5,"Spring",429857,32,7.4e-05
"117",117,2025,6,"Summer",488229,35,7.2e-05
"118",118,2025,7,"Summer",539649,40,7.4e-05
"119",119,2025,8,"Summer",549099,43,7.8e-05
"120",120,2025,9,"Fall",586927,36,6.1e-05
"121",121,2025,10,"Fall",513594,22,4.3e-05
"122",122,2025,11,"Fall",344738,9,2.6e-05
"123",123,2025,12,"Winter",187799,7,3.7e-05
