FID,STREETNAME,CLASS,ADMIN_TYPE,RT_NUMBER,ALTRTNUM1,ALTRTNUM2,ALTRTNUM3,ALTRTNUM4,ALTRT1TYPE,RDTYPE,ROUTE_ID,ROUTE_SYST,ROUTE_NUMB,ROUTE_DIRE,RD_SEG_ID,STREET_NAM,FM_ST_NAME,TO_ST_NAME,FACILITY,F_CLASS,URBAN_AREA,URBAN_TYPE,F_F_CLASS,JURISDICTN,NHS,FD_AID_RTE,FD_AID_RD,CONTROL,NUM_LANES,OPP_LANES,SURFACE_TP,SURFACE_WD,SHLDR_RT_W,SHLDR_RT_T,SHLDR_LT_W,SHLDR_LT_T,SHLDR_UL_W,SHLDR_UL_T,MED_WIDTH,MED_TYPE,CURB,LT_SIDEWLK,RT_SIDEWLK,OPERATION,SPEED_LIM,OP_DIR_SL,TRUCK,T_EXC_TYPE,T_EXC_TIME,TRK_NETWRK,TRUCK_RTE,ROW_WIDTH,STRUCT_CND,TERRAIN,TOLL_ROAD,MHS,MGIS_TOWN,CITY,COUNTY,HWY_DIST,MPO,RPA,RTA,MILE_COUNT,AADT,AADT_YEAR,AADT_DERIV,LENGTH_MI,LENGTH_FT,SHAPE_Leng,Shape__Length
1,CRESTHILL ROAD,5,0, , , , , ,0,5,L175480 EB,L,175480,EB,0,CRESTHILL ROAD,DEAD END,PARSONS STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,22,0,0,0,0,0,0,0,0,3,5,5,1,0,0, ,1,1,0,0,32,1,2,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.02055184,108.51372087,33.0750482721,108.513720870622
2,ROCKVALE CIRCLE,5,0, , , , , ,0,5,L192855 EB,L,192855,EB,0,ROCKVALE CIRCLE,WASHINGTON STREET,CUL_DE_SAC,1,0,09271,1,7,2,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.0036475,19.258805,5.87009550522,19.2588050039016
3,ALLSTON STREET,5,0, , , , , ,0,5,N2526 NB,N,2526,NB,55912,ALLSTON STREET,BRIGHTON AVENUE,WASHINGTON STREET,1,6,09271,1,5,2,0,   4,3,0,2,0,6,24,0,0,0,0,0,0,0,0,3,0,6,2,0,0, ,1,1,0,0,35,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3936,2016,14,0.00761087,40.1853862,12.2485302103,40.1845659349739
4,ROXBURY STREET,4,0, , , , , ,0,4,N1594 WB,N,1594,WB,53344,ROXBURY STREET,MALCOLM X BOULEVARD,ELMWOOD STREET,1,5,09271,1,4,2,0,  54,3,0,2,0,6,40,0,0,0,0,0,0,0,0,3,0,10,2,25,0, ,1,1,0,0,60,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,10525,2016,14,0.02136506,112.80749521,34.3837933074,112.807495208164
5,LONGWOOD AVENUE,4,0, , , , , ,0,4,N1524 EB,N,1524,EB,45539,LONGWOOD AVENUE,BROOKLINE TOWN LINE,SAINT ALPHONSUS STREET,1,5,09271,1,4,2,0,10-1,3,0,2,0,6,35,0,0,0,0,0,0,0,0,3,12,12,2,30,30, ,1,1,0,0,59,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,16533,2016,14,0.06581768,347.51733696,105.923496152,347.517336954988
6,FOSTER STREET,5,0, , , , , ,0,5,N2519 NB,N,2519,NB,45457,FOSTER STREET,COMMONWEALTH AVENUE,SURREY STREET,1,6,09271,1,5,2,0,   4,3,0,2,0,6,26,0,0,0,0,0,0,0,0,3,7,7,2,0,0, ,1,1,0,0,40,1,2,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3960,2016,14,0.03308042,174.66459615,53.2378753832,174.664596148269
7,HARVARD STREET,4,0, , , , , ,0,4,N1623 NB,N,1623,NB,57185,HARVARD STREET,CUMMINS HIGHWAY,BLUE HILL AVENUE,1,5,09271,1,4,2,0,  54,3,0,2,0,6,26,0,0,0,0,0,0,0,0,3,3,3,2,0,0, ,1,1,0,0,32,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3970,2016,14,0.20137962,1063.28440292,324.089734191,1063.28440292271
8,DUNCKLEE STREET,5,0, , , , , ,0,5,L180660 EB,L,180660,EB,0,DUNCKLEE STREET,HARRIET STREET,MADELINE STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,24,0,0,0,0,0,0,0,0,3,6,6,2,0,0, ,1,1,0,0,36,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.08847192,467.13173508,142.382037616,467.131735077494
9,WASHINGTON STREET,4,0, , , , , ,0,4,N1518 EB,N,1518,EB,57524,WASHINGTON STREET,NEWTON CITY LINE,BROOKLINE TOWN LINE,1,5,09271,1,4,2,0,10-1,3,0,2,0,5,36,0,0,0,0,0,0,0,0,3,10,10,2,30,30, ,1,1,0,0,36,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,10661,2016,14,0.04816225,254.29665642,77.5097758961,254.296656410161
10,BELLFLOWER STREET,5,0, , , , , ,0,5,L146572 EB,L,146572,EB,0,BELLFLOWER STREET,DORCHESTER AVENUE,BOSTON STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,26,0,0,0,0,0,0,0,0,3,7,7,1,0,0, ,1,1,0,0,40,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.13841618,730.83745171,222.759700802,730.837451714662
11,DUSTIN STREET,5,0, , , , , ,0,5,L200969 NB,L,200969,NB,0,DUSTIN STREET,NORTH BEACON STREET,CAMBRIDGE STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,26,0,0,0,0,0,0,0,0,3,7,7,2,0,0, ,1,1,0,0,40,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.03376889,178.29971467,54.3458617224,178.299714675296
12,ADAMS STREET,4,0, , , , , ,0,4,N1637 EB,N,1637,EB,56958,ADAMS STREET,WASHINGTON STREET,GALLIVAN BOULEVARD,1,5,09271,1,4,2,0,  55,3,0,2,0,6,30,0,0,0,0,0,0,0,0,3,8,8,2,30,30, ,1,1,0,0,46,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,10223,2016,14,0.11604152,612.69922255,186.751096535,612.699222547553
13,BEACON STREET,4,0, , , , , ,0,4,N075 NB,N,075,NB,53578,BEACON STREET,NEWTON CITY LINE,BROOKLINE TOWN LINE,1,3,09271,1,3,2,15,  54,2,0,2,0,6,24,0,0,0,0,0,0,0,0,3,6,6,2,30,30, ,1,1,0,0,60,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,23434,2016,14,0.03426175,180.90203632,55.1390509497,180.902036329743
