exis_facil,crashes_per_area,crashes_per_lane,crashes_per_distance,sum_crashes,num_facil,facil_id
SBLSL,0.003940350238834189,21.942611501872875,0.012264433305082279,56.166666666666664,6,1
SBLBL,0.0026556256166892895,54.44595058846819,0.0069855787683550845,129.66666666666666,6,2
BL,0.00207322560007404,15.381894764780952,0.004402171175302536,33.38028169014085,71,3
WALK,0.002039414617340806,47.95209580838323,0.004423145988258632,104,1,4
SBL,0.001970694659661502,23.704160515311553,0.004966028108936789,52.425,40,5
CFSBL,0.001887174437769454,6.5,0.003774348875538908,13,2,6
BLSL,0.001474596620606841,14.068013877645077,0.003098540862309369,29.964285714285715,28,7
SLM,0.0014681313241674215,13.531499404974141,0.003036974204825023,28.589041095890412,73,8
BL-PEAKBUS,0.001445539630721697,113.80559646539028,0.003086545312138466,243,1,9
BFBL,0.0013038415671976324,22.433167210010602,0.0027964589914149895,48.23076923076923,26,10
PED,0.0011437981794316235,45.49455955239037,0.002422269690487068,97.33333333333333,3,11
CFBL,8.994638980461397e-4,6.990450607695012,0.0017221532059802285,14.285714285714286,7,12
SUP,7.227169199258741e-4,2.5,0.0014454338398517481,5,2,13
SLMTC,5.275383194864755e-4,1.2142857142857142,0.001055076638972951,2.4285714285714284,7,14
