OID_,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape_Length,shape_wkt
1,Veterans Of Foreign Wars Parkway,6212500.000000000000000,2,3,1,2013,BL,0.001884610126404,"MULTILINESTRING M ((-71.168281688999969 42.290672467000036 NAN, -71.168396929999972 42.290591773000074 NAN, -71.168799613999965 42.290323969000042 NAN, -71.169262831999959 42.290001756000038 NAN, -71.169820128999959 42.28958472100004 NAN))"
2,Veterans Of Foreign Wars Parkway,4847800.000000000000000,2,3,1,2013,BL,0.000912323553528,"MULTILINESTRING M ((-71.168107839999948 42.290489215000036 NAN, -71.167767896999976 42.290693619000081 NAN, -71.167317057999981 42.29094391700005 NAN))"
3,Veterans Of Foreign Wars Parkway,4838800.000000000000000,2,3,1,2013,BL,0.000915277193314,"MULTILINESTRING M ((-71.166557851999983 42.291311413000074 NAN, -71.165736196999944 42.291714669000044 NAN))"
4,Lake Street,4547801.000000000000000,6,2,,2010,SLM,0.001258480816121,"MULTILINESTRING M ((-71.166118083999947 42.340679268000031 NAN, -71.166108807999933 42.34082267000008 NAN, -71.166099783999982 42.341130433000046 NAN, -71.166052816999979 42.341479156000048 NAN, -71.165999649999947 42.341601668000067 NAN, -71.165901050999935 42.341780313000072 NAN, -71.165840410999976 42.341880854000067 NAN))"
5,Commonwealth Avenue,5141000.000000000000000,3,2,1,2013,SLM,0.002589769657624,"MULTILINESTRING M ((-71.166117176999933 42.339955042000042 NAN, -71.165535563999981 42.340004554000075 NAN, -71.16477157099996 42.340048470000056 NAN, -71.16409019699995 42.340067297000076 NAN, -71.163531038999963 42.340064538000036 NAN))"
6,Commonwealth Avenue,5673800.000000000000000,3,2,1,2013,SLM,0.002603241205295,"MULTILINESTRING M ((-71.163531038999963 42.340064538000036 NAN, -71.162542110999937 42.34004701300006 NAN, -71.161551297999949 42.340028909000068 NAN, -71.160928759999933 42.340000639000039 NAN))"
7,Lake Street,4540000.000000000000000,6,2,,2010,SLM,0.000950212552710,"MULTILINESTRING M ((-71.165840410999976 42.341880854000067 NAN, -71.165688994999982 42.342115055000079 NAN, -71.165325544999973 42.342679488000044 NAN))"
8,Lake Street,4535900.000000000000000,6,2,,2010,SLM,0.001984797099978,"MULTILINESTRING M ((-71.165325544999973 42.342679488000044 NAN, -71.164826568999956 42.343303739000078 NAN, -71.164426506999973 42.343689694000034 NAN, -71.164207519999934 42.343934948000026 NAN, -71.164033278999966 42.34418032800005 NAN))"
9,Faneuil Street,5454700.000000000000000,3,2,,2010,BL,0.000456987824553,"MULTILINESTRING M ((-71.168628609999985 42.351067359000069 NAN, -71.169085434999943 42.351079557000048 NAN))"
10,Washington Street,4505600.000000000000000,3,2,,2010,BL,0.000669542440503,"MULTILINESTRING M ((-71.163093170999957 42.349049824000076 NAN, -71.162763097999971 42.349031976000049 NAN, -71.16242531599994 42.349003416000073 NAN))"
