exis_facil,crashes_per_area,num_facil,proportion,exis_facil_long
SBLSL,0.003940350238834189,6,0.02197802197802198,"Separated Bike Lane on One Side, Shared Lane on Other Side"
SBLBL,0.0026556256166892895,6,0.02197802197802198,"Separated Bike Lane on One Side, Bike Lane on Other Side"
BL,0.00207322560007404,71,0.2600732600732601,Bike Lane
WALK,0.002039414617340806,1,0.003663003663003663,Walkway
SBL,0.001970694659661502,40,0.14652014652014653,Separated Bike Lane
CFSBL,0.001887174437769454,2,0.007326007326007326,Contraflow Separated Bike Lane
BLSL,0.001474596620606841,28,0.10256410256410256,"Bike Lane on One Side, Shared Lane on Other Side"
SLM,0.0014681313241674215,73,0.2673992673992674,Shared Lane Markings or Shared Bus Lane
BL-PEAKBUS,0.001445539630721697,1,0.003663003663003663,Bike Lane / Peak Hour Bus Lane
BFBL,0.0013038415671976324,26,0.09523809523809523,Buffered Bus Lane
PED,0.0011437981794316235,3,0.01098901098901099,Pedestrianized Street
CFBL,8.994638980461397e-4,7,0.02564102564102564,Contraflow Bike Lane
SUP,7.227169199258741e-4,2,0.007326007326007326,Shared Use Path
SLMTC,5.275383194864755e-4,7,0.02564102564102564,Shared Lane Markings on a Traffic Calmed Street
