"","start_station","n","start_lat","start_lng"
"1","101 Smith Place",662,42.3925166696667,-71.1506561930556
"2","1200 Beacon St",33459,42.3440529116915,-71.1150763606501
"3","135 Morrissey Blvd",25,42.315510714,-71.0483772484286
"4","160 Arsenal",3171,42.3646640344168,-71.1756938695908
"5","160 Arsenal St",3560,42.3646910931344,-71.1754891819314
"6","175 N Harvard St",102773,42.3645220286114,-71.1284309336639
"7","18 Dorrance Warehouse",2157,42.3871544986852,-71.0759844192963
"8","191 Beacon St",51195,42.380350459015,-71.1088831635612
"9","2 Hummingbird Lane at Olmsted Green",596,42.2889857976966,-71.0950315783146
"10","30 Dane St",71476,42.3809786266544,-71.104025416668
"11","30 Dane St.",1155,42.3810014303805,-71.1040252261319
"12","30 Dane St. (former)",170,42.381122846301,-71.1041002722413
"13","300 Summer St",6046,42.349750006046,-71.0489595954762
"14","325 Binney St.",20942,42.3671946378751,-71.0890346200123
"15","359 Broadway",212,42.3707982444444,-71.104425746
"16","359 Broadway - Broadway at Fayette Street",138792,42.3707697734997,-71.1043740588683
"17","39 Brighton Ave",2294,42.3530125162254,-71.1265570139155
"18","40 Thorndike St",15536,42.368976995709,-71.0800945123414
"19","515 Somerville Ave (Temp. Winter Location)",2112,42.3831537603451,-71.1058484053911
"20","55 Wheeler Street",13304,42.3907279938124,-71.1440316326481
"21","555 Metropolitan Ave",876,42.2679701573451,-71.1191729047606
"22","606 American Legion Hwy at Canterbury St",2644,42.2858620353192,-71.1095721095282
"23","615 Broadway",741,42.3946112446389,-71.030784564
"24","645 Summer St",13610,42.3415287938464,-71.0401652493849
"25","699 Mt Auburn St",34862,42.374996299277,-71.1486219851081
"26","699 Mt Auburn St (former)",286,42.3749765921572,-71.1486303063066
"27","7 Acre Park",10891,42.4108581709973,-71.0678394317058
"28","700 Commonwealth Ave.",69649,42.3496135211064,-71.1039427571272
"29","700 Huron Ave",12611,42.3806790100653,-71.1540775046614
"30","75 Binney St",58057,42.3653931882638,-71.080232136911
"31","780 Morrissey Blvd",1799,42.2953030884706,-71.0471576565784
"32","84 Cambridgepark Dr",12064,42.3935302077115,-71.1438267992615
"33","855 Broadway",2226,42.3984124516334,-71.0240114834432
"34","87-101 Cambridgepark Drive",8259,42.3953504720372,-71.144207401822
"35","8D OPS 01",3,0,0
"36","8D OPS 03",3,45.505086,-73.566921
"37","8D QC Station 01",8,28.2300221037355,-47.3977661132813
"38","8D QC Station 02",3,0,0
"39","955 Mass Ave",92149,42.3689610502689,-71.1100169389753
"40","99 Coolidge Ave",1686,42.3636751002061,-71.1517934239389
"41","Adams Branch Library",180,42.286011,-71.054689
"42","Adams St at Lonsdale St",3152,42.2921138624106,-71.0573945337462
"43","Adams St at Mallet St.",835,42.2909341213003,-71.0567906883495
"44","Addison St at Saratoga St",4907,42.3851405565002,-71.0150253259465
"45","Agganis Arena - 925 Comm Ave.",17778,42.351246,-71.115639
"46","Airport T Stop - Bremen St at Brooks St",22718,42.3754520184086,-71.0314422000128
"47","Albany St at E. Brookline St",37971,42.336690951603,-71.0689605219923
"48","Alewife MBTA at Steel Place",44609,42.3957408941288,-71.1427054774992
"49","Alewife Station at Russell Field",42737,42.396069360362,-71.1393252639509
"50","Allston Green District - Commonwealth Ave & Griggs St",10206,42.348607,-71.13401
"51","Allston Green District - Griggs St at Commonwealth Ave",18071,42.3490837838689,-71.1329917461044
"52","Allston Green District - Griggs St at Commonwealth Ave TEMPORARY WINTER LOCATION",1323,42.349224693383,-71.1327530257859
"53","Alpine Path at Concord Ave",643,42.3853032070148,-71.1377428949161
"54","American Legion Hwy at Canterbury St",469,42.278811581566,-71.1168770306267
"55","American Legion Hwy at Cummins Hwy",1638,42.2787409554787,-71.1168988594435
"56","American Legion Hwy at Hyde Park Ave",381,42.2726603601019,-71.1198122471581
"57","Ames St at Broadway",93793,42.3637456133455,-71.0875380886337
"58","Ames St at Main St",290337,42.3624215407675,-71.0882523655941
"59","Andrew Station - Dorchester Ave at Humboldt Pl",5143,42.330716,-71.057044
"60","Andrew T Stop - Dorchester Ave at Dexter St",30205,42.3306992273774,-71.0570409815536
"61","Aquarium Station - 200 Atlantic Ave.",22950,42.35977,-71.051601
"62","Aquarium T Stop - 200 Atlantic Ave",119372,42.3601955455447,-71.0509155319788
"63","Arch St at Franklin St",91485,42.3552479553734,-71.0581938207245
"64","Archdale Rd at Washington St",5321,42.2924506147328,-71.1207370366059
"65","Archdale Rd at Washington St (former)",87,42.292706,-71.121145
"66","Arsenal Yards",22486,42.3627755527367,-71.1577536602413
"67","Arsenal on the Charles",2780,42.3634776880297,-71.1642273755946
"68","Ashley St at Boardman",596,42.3891637613214,-71.01038144325
"69","Ashley St at Boardman St",6,42.389155,-71.010409
"70","Ashmont T Stop",7898,42.2855854304789,-71.0642758301632
"71","Assembly Square T",24075,42.392342492301,-71.0774643522728
"72","Atlantic Ave at Beach St",1449,42.3506868853087,-71.0565861160134
"73","Au Bon Pain Way at Fid Kennedy Ave",1450,42.3461848042781,-71.0292085830059
"74","Auburn St. at Mystic River",2588,42.4175837641831,-71.1260496072358
"75","Auburndale",1477,42.3480562947531,-71.2476665620558
"76","B.U. Central - 725 Comm. Ave.",132145,42.3503880952487,-71.1082098093462
"77","B.U. Central T Stop - 725 Commonwealth Ave",4869,42.3503772817802,-71.1082226607185
"78","BCBS Hingham",587,42.1672255554165,-70.9055578337029
"79","BCBS Quincy",294,42.2760049875667,-71.0392498226793
"80","BIDMC - Brookline at Burlington St",6502,42.345733,-71.100694
"81","Back Bay / South End Station",31237,42.3480741231744,-71.0765701532364
"82","Back Bay T Stop - Dartmouth St at Stuart St",158485,42.3479674699395,-71.0765694796901
"83","Bacon St at Washington St",3425,42.3572462686505,-71.1861841402094
"84","Ball Sq",20874,42.3993753493674,-71.1111485558192
"85","Bartlett St at John Elliot Sq",26309,42.3294195395509,-71.0900863097173
"86","Bartlett St at John Elliot Sq (former)",50,42.3294632592255,-71.0901582055249
"87","Beach St at Freeport St",1244,42.3036020999221,-71.0542761178832
"88","Beachmont Square at Suffolk Downs",861,42.39764456348,-70.99306202692
"89","Beacon St / Mass Ave",31011,42.350851,-71.089886
"90","Beacon St at Arlington St",27540,42.3555560509962,-71.0728348705826
"91","Beacon St at Charles St",110382,42.356086645048,-71.0698512778214
"92","Beacon St at Englewood Ave",802,42.3373691537093,-71.1448597723211
"93","Beacon St at Hawes St",2028,42.3449678332853,-71.1104017690377
"94","Beacon St at Massachusetts Ave",227020,42.3508339110808,-71.0898542188583
"95","Beacon St at St. Paul St",4287,42.3437309499872,-71.1161410716158
"96","Beacon St at Tappan St",37256,42.3382065571156,-71.1389746727249
"97","Beacon St at Washington / Kirkland",84443,42.3787087168841,-71.1069173748495
"98","Beacon at Walnut",1564,42.3299761120502,-71.2067291676718
"99","Belgrade Ave at Walworth St",3549,42.2863490397861,-71.1368245289546
"100","Bellevue T Stop",1199,42.2861224275532,-71.1465907900212
"101","Bellingham Square",2300,42.3933414967701,-71.0332402018253
